CoReg;Year;Series;Value;Footnotes;Source
Romania;2000;Supply per capita (gigajoules);69;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Romania;2005;Supply per capita (gigajoules);75;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Romania;2010;Supply per capita (gigajoules);72;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Romania;2015;Supply per capita (gigajoules);67;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Romania;2016;Supply per capita (gigajoules);67;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Romania;2017;Supply per capita (gigajoules);71;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Romania;2018;Supply per capita (gigajoules);72;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;1995;Primary energy production (petajoules);40589;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2000;Primary energy production (petajoules);41030;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2005;Primary energy production (petajoules);50506;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2010;Primary energy production (petajoules);53679;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2015;Primary energy production (petajoules);56024;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2016;Primary energy production (petajoules);57679;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2017;Primary energy production (petajoules);60017;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2018;Primary energy production (petajoules);62422;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;1995;Net imports [Imports - Exports - Bunkers] (petajoules);-13397;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2000;Net imports [Imports - Exports - Bunkers] (petajoules);-14842;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2005;Net imports [Imports - Exports - Bunkers] (petajoules);-22870;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2010;Net imports [Imports - Exports - Bunkers] (petajoules);-24601;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2015;Net imports [Imports - Exports - Bunkers] (petajoules);-27007;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2016;Net imports [Imports - Exports - Bunkers] (petajoules);-28035;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2017;Net imports [Imports - Exports - Bunkers] (petajoules);-28641;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-29521;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;1995;Changes in stocks (petajoules);472;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2000;Changes in stocks (petajoules);195;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2005;Changes in stocks (petajoules);298;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2010;Changes in stocks (petajoules);147;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2015;Changes in stocks (petajoules);75;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2016;Changes in stocks (petajoules);48;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2017;Changes in stocks (petajoules);669;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2018;Changes in stocks (petajoules);-325;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;1995;Total supply (petajoules);26720;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2000;Total supply (petajoules);25994;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2005;Total supply (petajoules);27338;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2010;Total supply (petajoules);28932;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2015;Total supply (petajoules);28943;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2016;Total supply (petajoules);29596;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2017;Total supply (petajoules);30706;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2018;Total supply (petajoules);33226;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;1995;Supply per capita (gigajoules);180;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2000;Supply per capita (gigajoules);177;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2005;Supply per capita (gigajoules);190;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2010;Supply per capita (gigajoules);202;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2015;Supply per capita (gigajoules);200;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2016;Supply per capita (gigajoules);204;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2017;Supply per capita (gigajoules);211;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Russian Federation;2018;Supply per capita (gigajoules);228;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;1995;Primary energy production (petajoules);48;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2000;Primary energy production (petajoules);46;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2005;Primary energy production (petajoules);63;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2010;Primary energy production (petajoules);76;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2015;Primary energy production (petajoules);85;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2016;Primary energy production (petajoules);86;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2017;Primary energy production (petajoules);86;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2018;Primary energy production (petajoules);87;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;1995;Net imports [Imports - Exports - Bunkers] (petajoules);7;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2000;Net imports [Imports - Exports - Bunkers] (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2005;Net imports [Imports - Exports - Bunkers] (petajoules);7;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2010;Net imports [Imports - Exports - Bunkers] (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2015;Net imports [Imports - Exports - Bunkers] (petajoules);13;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2016;Net imports [Imports - Exports - Bunkers] (petajoules);13;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2017;Net imports [Imports - Exports - Bunkers] (petajoules);13;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2018;Net imports [Imports - Exports - Bunkers] (petajoules);14;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2005;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2016;Changes in stocks (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2017;Changes in stocks (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2018;Changes in stocks (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;1995;Total supply (petajoules);54;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2000;Total supply (petajoules);54;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2005;Total supply (petajoules);71;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2010;Total supply (petajoules);84;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2015;Total supply (petajoules);98;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2016;Total supply (petajoules);98;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2017;Total supply (petajoules);99;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2018;Total supply (petajoules);101;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;1995;Supply per capita (gigajoules);10;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2000;Supply per capita (gigajoules);7;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2005;Supply per capita (gigajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2010;Supply per capita (gigajoules);8;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2015;Supply per capita (gigajoules);9;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2016;Supply per capita (gigajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2017;Supply per capita (gigajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Rwanda;2018;Supply per capita (gigajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;1995;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2000;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2005;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2010;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2015;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2016;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2017;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2018;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;1995;Net imports [Imports - Exports - Bunkers] (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2000;Net imports [Imports - Exports - Bunkers] (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2005;Net imports [Imports - Exports - Bunkers] (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2010;Net imports [Imports - Exports - Bunkers] (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2015;Net imports [Imports - Exports - Bunkers] (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2016;Net imports [Imports - Exports - Bunkers] (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2017;Net imports [Imports - Exports - Bunkers] (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2018;Net imports [Imports - Exports - Bunkers] (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;1995;Total supply (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2000;Total supply (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2005;Total supply (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2010;Total supply (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2015;Total supply (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2016;Total supply (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2017;Total supply (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2018;Total supply (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;1995;Supply per capita (gigajoules);35;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2000;Supply per capita (gigajoules);36;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2005;Supply per capita (gigajoules);33;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2010;Supply per capita (gigajoules);30;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2015;Supply per capita (gigajoules);27;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2016;Supply per capita (gigajoules);35;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2017;Supply per capita (gigajoules);26;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Helena;2018;Supply per capita (gigajoules);32;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;1995;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2000;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2005;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2010;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2015;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2016;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2017;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2018;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;1995;Net imports [Imports - Exports - Bunkers] (petajoules);2;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2000;Net imports [Imports - Exports - Bunkers] (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2005;Net imports [Imports - Exports - Bunkers] (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2010;Net imports [Imports - Exports - Bunkers] (petajoules);3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2015;Net imports [Imports - Exports - Bunkers] (petajoules);4;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2016;Net imports [Imports - Exports - Bunkers] (petajoules);4;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2017;Net imports [Imports - Exports - Bunkers] (petajoules);4;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2018;Net imports [Imports - Exports - Bunkers] (petajoules);4;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;1995;Total supply (petajoules);2;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2000;Total supply (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2005;Total supply (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2010;Total supply (petajoules);3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2015;Total supply (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2016;Total supply (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2017;Total supply (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2018;Total supply (petajoules);4;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;1995;Supply per capita (gigajoules);56;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2000;Supply per capita (gigajoules);63;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2005;Supply per capita (gigajoules);67;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2010;Supply per capita (gigajoules);65;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2015;Supply per capita (gigajoules);65;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2016;Supply per capita (gigajoules);67;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2017;Supply per capita (gigajoules);67;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Kitts and Nevis;2018;Supply per capita (gigajoules);67;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;1995;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2000;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2005;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2010;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2015;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2016;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2017;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2018;Primary energy production (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;1995;Net imports [Imports - Exports - Bunkers] (petajoules);4;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2000;Net imports [Imports - Exports - Bunkers] (petajoules);5;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2005;Net imports [Imports - Exports - Bunkers] (petajoules);6;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2010;Net imports [Imports - Exports - Bunkers] (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2015;Net imports [Imports - Exports - Bunkers] (petajoules);7;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2016;Net imports [Imports - Exports - Bunkers] (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2017;Net imports [Imports - Exports - Bunkers] (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2018;Net imports [Imports - Exports - Bunkers] (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;1995;Total supply (petajoules);5;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2000;Total supply (petajoules);6;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2005;Total supply (petajoules);7;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2010;Total supply (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2015;Total supply (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2016;Total supply (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2017;Total supply (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2018;Total supply (petajoules);8;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;1995;Supply per capita (gigajoules);36;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2000;Supply per capita (gigajoules);40;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2005;Supply per capita (gigajoules);41;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2010;Supply per capita (gigajoules);45;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2015;Supply per capita (gigajoules);43;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2016;Supply per capita (gigajoules);42;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2017;Supply per capita (gigajoules);44;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Lucia;2018;Supply per capita (gigajoules);44;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2000;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2005;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2010;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2015;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2016;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2017;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2018;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;1995;Net imports [Imports - Exports - Bunkers] (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2000;Net imports [Imports - Exports - Bunkers] (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2005;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2010;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2015;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2016;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2017;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
